allele,coverage,cutoff_ic50
HLAA0101,16.2,884
HLAA0201,25.2,255
HLAA0203,3.3,92
HLAA0206,4.9,60
HLAA0301,15.4,602
HLAA1101,12.9,382
HLAA2301,6.4,740
HLAA2402,16.8,849
HLAA2501,2.5,795
HLAA2601,4.7,815
HLAA2902,2.9,641
HLAA3001,5.1,109
HLAA3002,5,674
HLAA3101,4.7,329
HLAA3201,5.7,131
HLAA3301,3.2,606
HLAA6801,4.6,197
HLAA6802,3.3,259
HLAB0702,13.3,687
HLAB0801,11.5,663
HLAB1402,2.8,700
HLAB1501,5.2,528
HLAB1801,4.4,732
HLAB2705,2,584
HLAB3501,6.5,348
HLAB3503,1.2,888
HLAB3801,2,944
HLAB3901,2.9,542
HLAB4001,10.3,639
HLAB4002,3.5,590
HLAB4402,9.2,904
HLAB4403,7.6,780
HLAB4601,4,926
HLAB4801,1.8,887
HLAB5101,5.5,939
HLAB5301,5.4,538
HLAB5701,3.2,716
HLAB5801,3.6,446
